tract,Neighborhood,Employment Rate
24510270802,"Ramblewood, Baltimore, MD",0.9102
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.9024
24510020300,"Fells Point, Baltimore, MD",0.8923
24510070100,"Baltimore, MD",0.8846
24005491300,"Baltimore, MD",0.8809
24510271501,"Mount Washington, Baltimore, MD",0.8754
24510270200,"Lauraville, Baltimore, MD",0.8586
24005490602,"Baltimore, MD",0.8579
24510271200,"Homeland, Baltimore, MD",0.8555
24510220100,"Baltimore, MD",0.8468
24005491000,"Baltimore, MD",0.8454
24005490603,"Baltimore, MD",0.8445
24510200800,"Irvington, Baltimore, MD",0.8439
24510280401,"Baltimore, MD",0.8419
24510040100,"Downtown, Baltimore, MD",0.8373
24510270502,"North Harford Road, Baltimore, MD",0.8337
24510270903,"Hillen, Baltimore, MD",0.8218
24510271300,"Roland Park, Baltimore, MD",0.8207
24005403602,"Baltimore, MD",0.8189
24510260201,"Frankford, Baltimore, MD",0.8166
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8157
24005490601,"Baltimore, MD",0.8151
24510270801,"Idlewood, Baltimore, MD",0.8128
24510280301,"Gwynn Oak, Baltimore, MD",0.8123
24510080101,"Belair - Edison, Baltimore, MD",0.8107
24510240200,"Riverside, Baltimore, MD",0.8093
24510260102,"Frankford, Baltimore, MD",0.809
24510270402,"Glenham-Belford, Baltimore, MD",0.8083
24510250102,"Yale Heights, Baltimore, MD",0.8073
24510270805,"Mid-Govans, Baltimore, MD",0.8063
24510270302,"Waltherson, Baltimore, MD",0.8057
24510260303,"Claremont - Freedom, Baltimore, MD",0.8049
24005440100,"Baltimore, MD",0.8048
24510271503,"Cross Keys, Baltimore, MD",0.8038
24005403601,"Baltimore, MD",0.8037
24510260202,"Parkside, Baltimore, MD",0.8024
24510010100,"Canton, Baltimore, MD",0.8012
24510020100,"Upper Fells Point, Baltimore, MD",0.8009
24510260301,"Belair - Edison, Baltimore, MD",0.8007
24510270101,"Arcadia, Baltimore, MD",0.7994
24510270803,"Loch Raven, Baltimore, MD",0.7991
24005491100,"Baltimore, MD",0.7976
24510271400,"Evergreen, Baltimore, MD",0.7966
24510280403,"Westgate, Baltimore, MD",0.7945
24005440400,"Baltimore, MD",0.7943
24510030200,"Little Italy, Baltimore, MD",0.794
24510130803,"Medfield, Baltimore, MD",0.7853
24510130806,"Woodberry, Baltimore, MD",0.7848
24510260605,"Medford - Broening, Baltimore, MD",0.784
24510270401,"Glenham-Belford, Baltimore, MD",0.7832
24510120300,"Harwood, Baltimore, MD",0.7807
24005441000,"Baltimore, MD",0.7803
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.7796
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.7795
24510260302,"Belair - Edison, Baltimore, MD",0.7781
24005420600,"Baltimore, MD",0.7766
24003750201,"Brooklyn, Baltimore, MD",0.7759
24005420500,"Baltimore, MD",0.7745
24510270703,"North Harford Road, Baltimore, MD",0.7702
24510270102,"Waltherson, Baltimore, MD",0.7701
24510270501,"Woodring, Baltimore, MD",0.7696
24510270301,"Lauraville, Baltimore, MD",0.7655
24510010200,"Patterson Park, Baltimore, MD",0.7632
24510010400,"Canton, Baltimore, MD",0.7631
24510260900,"Baltimore, MD",0.7481
24510010300,"Canton, Baltimore, MD",0.7457
24510140100,"Bolton Hill, Baltimore, MD",0.7456
24510261100,"Canton, Baltimore, MD",0.7448
